Term Code,Department,Subject,Course,CourseGPA,StudentGPA
4192,AERO,AERO-A,102,3.808,3.299
4192,AERO,AERO-A,202,4,3.321
4192,AERO,AERO-A,302,3.783,3.481
4192,AERO,AERO-A,402,NR,NR
4192,MIL,MIL-G,102,3.913,3.13
4192,MIL,MIL-G,202,3.953,3.205
4192,MIL,MIL-G,302,3.968,3.286
4192,MIL,MIL-G,402,3.338,3.131
4192,ENG,ENG-W,508,NR,NR
4192,BUEX,BUEX-C,531,NR,NR
4192,BUEX,BUEX-C,533,3.545,3.638
4192,BUEX,BUEX-C,535,3.65,3.624
4192,BUEX,BUEX-V,594,3.961,3.709
4192,BUEX,BUEX-V,595,3.624,3.562
4192,BUEX,BUEX-V,596,3.519,3.41
4192,BUEX,BUEX-V,598,3.9,3.877
4192,BUEX,BUEX-V,599,3.96,3.877
4192,BUEX,BUEX-Z,503,3.939,3.842
4192,BUEX,BUEX-Z,506,3.909,3.842
4192,BUEX,BUEX-Z,509,NR,NR
4192,BUEX,BUEX-Z,510,4,3.729
4192,BUEX,BUEX-Z,511,3.987,3.842
4192,BUEX,BUEX-Z,517,3.597,3.729
4192,BUEX,BUEX-Z,589,4,3.729
4192,BUEX,BUEX-Z,590,3.568,3.729
4192,BUKD,BUKD-C,511,3.691,3.656
4192,BUKD,BUKD-C,514,3.57,3.71
4192,BUKD,BUKD-C,521,3.543,3.621
4192,BUKD,BUKD-C,522,3.827,3.702
4192,BUKD,BUKD-C,524,3.425,3.694
4192,BUKD,BUKD-C,526,NR,NR
4192,BUKD,BUKD-C,527,NR,NR
4192,BUKD,BUKD-C,540,3.449,3.533
4192,BUKD,BUKD-C,543,3.511,3.663
4192,BUKD,BUKD-C,548,3.47,3.622
4192,BUKD,BUKD-C,549,3.6,3.731
4192,BUKD,BUKD-C,550,3.679,3.694
4192,BUKD,BUKD-C,555,3.98,3.784
4192,BUKD,BUKD-C,560,3.718,3.673
4192,BUKD,BUKD-C,562,3.883,3.753
4192,BUKD,BUKD-C,570,3.773,3.648
4192,BUKD,BUKD-C,574,3.721,3.678
4192,BUKD,BUKD-C,575,3.792,3.628
4192,BUKD,BUKD-C,580,3.438,3.605
4192,BUKD,BUKD-C,589,NR,NR
4192,BUKD,BUKD-C,595,NR,NR
4192,BUKD,BUKD-F,711,3.789,3.584
4192,BUKD,BUKD-F,742,3.386,3.362
4192,BUKD,BUKD-F,743,3.915,3.708
4192,BUKD,BUKD-F,744,3.65,3.706
4192,BUKD,BUKD-F,745,3.611,3.56
4192,BUKD,BUKD-M,544,3.944,3.716
4192,BUKD,BUKD-R,732,3.788,3.584
4192,BUKD,BUKD-T,501,NR,NR
4192,BUKD,BUKD-T,560,3.826,3.633
4192,BUKD,BUKD-T,578,3.651,3.59
4192,BUKD,BUKD-U,701,NR,NR
4192,BUKD,BUKD-U,702,3.82,3.695
4192,BUKD,BUKD-U,714,3.3,3.517
4192,BUKD,BUKD-U,723,3.839,3.688
4192,BUKD,BUKD-X,501,3.857,3.585
4192,BUKD,BUKD-X,520,3.89,3.696
4192,BUKD,BUKD-X,532,3.942,3.761
4192,BUKD,BUKD-X,572,NR,NR
4192,BUKD,BUKD-X,574,3.963,3.713
4192,BUS,BUS-A,100,2.876,3.242
4192,BUS,BUS-A,200,2.933,2.986
4192,BUS,BUS-A,201,2.922,3.439
4192,BUS,BUS-A,202,2.887,3.425
4192,BUS,BUS-A,207,3.5,3.752
4192,BUS,BUS-A,271,3.891,3.419
4192,BUS,BUS-A,272,4,3.67
4192,BUS,BUS-A,303,3.731,3.543
4192,BUS,BUS-A,310,3.096,3.391
4192,BUS,BUS-A,311,3.317,3.582
4192,BUS,BUS-A,312,3.018,3.492
4192,BUS,BUS-A,324,3.673,3.367
4192,BUS,BUS-A,325,3.184,3.532
4192,BUS,BUS-A,327,3.004,3.325
4192,BUS,BUS-A,329,3.08,3.518
4192,BUS,BUS-A,337,3.561,3.477
4192,BUS,BUS-A,355,3.038,3.297
4192,BUS,BUS-A,422,3.318,3.522
4192,BUS,BUS-A,424,3.223,3.484
4192,BUS,BUS-A,437,3.277,3.411
4192,BUS,BUS-A,440,3.735,3.505
4192,BUS,BUS-A,490,NR,NR
4192,BUS,BUS-A,505,4,3.636
4192,BUS,BUS-A,517,3.523,3.636
4192,BUS,BUS-A,519,3.565,3.636
4192,BUS,BUS-A,527,3.579,3.675
4192,BUS,BUS-A,528,NR,NR
4192,BUS,BUS-A,531,3.67,3.676
4192,BUS,BUS-A,545,3.522,3.56
4192,BUS,BUS-A,546,3.524,3.619
4192,BUS,BUS-A,548,3.51,3.556
4192,BUS,BUS-A,562,3.28,3.634
4192,BUS,BUS-A,564,3.618,3.637
4192,BUS,BUS-A,570,3.497,3.648
4192,BUS,BUS-A,572,3.911,3.687
4192,BUS,BUS-A,579,4,3.666
4192,BUS,BUS-A,582,3.848,3.638
4192,BUS,BUS-A,590,NR,NR
4192,BUS,BUS-A,591,3.672,3.639
4192,BUS,BUS-A,601,3.9,3.9
4192,BUS,BUS-C,104,3.578,3.326
4192,BUS,BUS-C,106,3.766,3.63
4192,BUS,BUS-C,204,3.585,3.414
4192,BUS,BUS-C,205,3.9,3.747
4192,BUS,BUS-C,271,3.843,3.598
4192,BUS,BUS-C,272,3.949,3.672
4192,BUS,BUS-C,355,4,3.633
4192,BUS,BUS-C,575,3.831,3.559
4192,BUS,BUS-D,270,3.161,3.48
4192,BUS,BUS-D,271,3.472,3.419
4192,BUS,BUS-D,272,3.732,3.634
4192,BUS,BUS-D,311,3.588,3.381
4192,BUS,BUS-D,312,3.231,3.374
4192,BUS,BUS-D,411,3.668,3.264
4192,BUS,BUS-D,496,NR,NR
4192,BUS,BUS-D,594,3.3,3.461
4192,BUS,BUS-D,620,NR,NR
4192,BUS,BUS-F,228,3.255,3.49
4192,BUS,BUS-F,255,4,3.573
4192,BUS,BUS-F,260,3.009,3.083
4192,BUS,BUS-F,262,3.1,3.255
4192,BUS,BUS-F,272,4,3.683
4192,BUS,BUS-F,300,2.834,3.182
4192,BUS,BUS-F,303,3.085,3.475
4192,BUS,BUS-F,305,3.075,3.467
4192,BUS,BUS-F,307,2.942,3.339
4192,BUS,BUS-F,317,3.117,3.394
4192,BUS,BUS-F,335,3.098,3.375
4192,BUS,BUS-F,355,NR,NR
4192,BUS,BUS-F,365,3.127,3.359
4192,BUS,BUS-F,369,3.339,3.386
4192,BUS,BUS-F,370,2.779,3.25
4192,BUS,BUS-F,390,NR,NR
4192,BUS,BUS-F,402,3.106,3.379
4192,BUS,BUS-F,419,3.105,3.308
4192,BUS,BUS-F,420,3.076,3.353
4192,BUS,BUS-F,421,3.171,3.419
4192,BUS,BUS-F,428,4,3.589
4192,BUS,BUS-F,429,3.943,3.722
4192,BUS,BUS-F,446,3.1,3.351
4192,BUS,BUS-F,455,3.444,3.529
4192,BUS,BUS-F,494,3.175,3.359
4192,BUS,BUS-F,507,3.76,3.578
4192,BUS,BUS-F,517,3.786,3.695
4192,BUS,BUS-F,519,3.586,3.59
4192,BUS,BUS-F,520,3.493,3.616
4192,BUS,BUS-F,525,3.408,3.504
4192,BUS,BUS-F,526,3.694,3.706
4192,BUS,BUS-F,528,3.693,3.652
4192,BUS,BUS-F,529,3.559,3.587
4192,BUS,BUS-F,540,3.534,3.639
4192,BUS,BUS-F,541,3.326,3.548
4192,BUS,BUS-F,546,3.547,3.599
4192,BUS,BUS-F,548,3.451,3.571
4192,BUS,BUS-F,549,3.869,3.523
4192,BUS,BUS-F,560,3.659,3.512
4192,BUS,BUS-F,570,3.669,3.5
4192,BUS,BUS-F,571,3.714,3.462
4192,BUS,BUS-F,579,3.695,3.618
4192,BUS,BUS-F,600,3.87,3.767
4192,BUS,BUS-F,625,3.8,3.739
4192,BUS,BUS-F,644,NR,NR
4192,BUS,BUS-G,202,3.011,3.442
4192,BUS,BUS-G,272,3.775,3.614
4192,BUS,BUS-G,300,3.211,3.041
4192,BUS,BUS-G,303,3.227,3.518
4192,BUS,BUS-G,304,3.311,3.556
4192,BUS,BUS-G,316,3.43,3.517
4192,BUS,BUS-G,345,3.197,3.514
4192,BUS,BUS-G,350,3.29,3.476
