Grade Distribution by Institution, Course Group, Academic Organization, and Course for 4195
"Institution Code","Inst Description","Term Code","Term Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","511","33","33","0","3.882","3.68","2","18","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","518","24","26","96","3.667","3.704","0","12","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","520","295","313","59.9","3.626","3.608","0","144","79","15","43","6","2","1","0","0","0","0","5","0","0","0","0","9","0","9","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","521","287","321","59.8","3.484","3.537","9","124","39","31","46","25","0","5","1","0","4","0","3","0","0","2","0","12","0","20","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","522","225","242","70.6","3.881","3.68","45","119","45","10","5","1","0","0","0","0","0","0","0","0","0","0","0","3","0","14","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","526","66","74","98.5","3.573","3.64","0","4","38","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","527","100","105","70","3.473","3.692","0","32","24","19","15","6","2","1","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","528","113","121","62.1","3.516","3.635","2","30","20","42","18","1","0","0","0","0","0","0","0","0","0","0","0","3","0","5","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","529","33","33","0","3.739","3.711","3","4","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","530","238","255","72.1","3.487","3.523","10","52","66","70","19","15","4","0","0","0","0","0","2","0","0","1","0","5","0","11","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","540","303","320","66.9","3.389","3.592","16","98","43","41","60","21","7","6","4","0","5","0","2","0","0","1","0","10","0","6","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","548","87","88","51.7","3.597","3.769","7","31","18","16","8","5","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","549","41","43","90.2","3.483","3.619","1","9","13","9","6","1","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","550","245","255","71","3.68","3.667","21","116","46","26","21","8","4","1","1","0","0","0","1","0","0","0","0","0","0","10","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","554","40","45","95","3.543","3.684","2","8","12","11","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","555","11","11","0","3.918","3.542","0","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","560","78","86","35","3.849","3.672","0","51","21","5","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","6","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","561","195","210","73.6","3.435","3.67","5","29","54","74","18","7","4","3","1","0","0","0","0","0","0","0","0","2","0","13","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","562","198","214","65.3","3.835","3.681","47","106","20","12","6","3","1","1","2","0","0","0","0","0","0","0","0","4","0","12","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","563","33","33","0","3.991","3.711","0","32","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","565","75","78","80.3","3.532","3.624","2","16","21","26","8","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","570","99","105","34.7","3.826","3.591","0","64","25","4","3","3","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","572","24","29","84","3.508","3.604","0","9","3","8","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","580","308","328","65.9","3.476","3.619","0","76","83","86","43","12","0","6","1","0","0","1","0","0","0","1","0","5","0","14","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","589","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","596","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-C","599","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-E","733","27","30","78.6","3.626","3.607","1","9","10","3","2","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-E","734","28","28","0","3.786","3.814","4","12","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-E","735","26","28","88.5","3.412","3.623","0","13","3","2","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-F","722","64","68","70.3","3.455","3.652","0","17","16","17","9","4","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-F","742","18","20","0","3.317","3.319","0","4","5","4","4","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-F","745","71","78","57.5","3.658","3.548","14","34","14","4","0","1","0","0","0","0","0","0","4","0","0","0","0","2","0","5","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-M","501","42","45","90.5","3.986","3.654","0","40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-M","544","21","23","81","3.414","3.584","0","6","4","3","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-M","594","31","31","61.3","3.49","3.6","0","4","15","9","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-N","563","13","13","100","3.923","3.665","0","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-T","501","13","15","92.9","4","3.608","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","09-06-2019",
